"Company","Ticker","NameOfStock"
"Air Liquide","AI.PA","Air Liquide,AI.PA"
"Airbus","AIR.PA","Airbus,AIR.PA"
"Alstom","ALO.PA","Alstom,ALO.PA"
"ArcelorMittal","MT.AS","ArcelorMittal,MT.AS"
"AXA","CS.PA","AXA,CS.PA"
"BNP Paribas","BNP.PA","BNP Paribas,BNP.PA"
"Bouygues","EN.PA","Bouygues,EN.PA"
"Capgemini","CAP.PA","Capgemini,CAP.PA"
"Carrefour","CA.PA","Carrefour,CA.PA"
"Crédit Agricole","ACA.PA","Crédit Agricole,ACA.PA"
"Danone","BN.PA","Danone,BN.PA"
"Dassault Systèmes","DSY.PA","Dassault Systèmes,DSY.PA"
"Engie","ENGI.PA","Engie,ENGI.PA"
"EssilorLuxottica","EL.PA","EssilorLuxottica,EL.PA"
"Eurofins Scientific","ERF.PA","Eurofins Scientific,ERF.PA"
"Hermès","RMS.PA","Hermès,RMS.PA"
"Kering","KER.PA","Kering,KER.PA"
"L'Oréal","OR.PA","L'Oréal,OR.PA"
"Legrand","LR.PA","Legrand,LR.PA"
"LVMH","MC.PA","LVMH,MC.PA"
"Michelin","ML.PA","Michelin,ML.PA"
"Orange","ORA.PA","Orange,ORA.PA"
"Pernod Ricard","RI.PA","Pernod Ricard,RI.PA"
"Publicis","PUB.PA","Publicis,PUB.PA"
"Renault","RNO.PA","Renault,RNO.PA"
"Safran","SAF.PA","Safran,SAF.PA"
"Saint-Gobain","SGO.PA","Saint-Gobain,SGO.PA"
"Sanofi","SAN.PA","Sanofi,SAN.PA"
"Schneider Electric","SU.PA","Schneider Electric,SU.PA"
"Société Générale","GLE.PA","Société Générale,GLE.PA"
"Stellantis","STLA.PA","Stellantis,STLA.PA"
"STMicroelectronics","STM.PA","STMicroelectronics,STM.PA"
"Teleperformance","TEP.PA","Teleperformance,TEP.PA"
"Thales","HO.PA","Thales,HO.PA"
"TotalEnergies","TTE.PA","TotalEnergies,TTE.PA"
"Unibail-Rodamco-Westfield","URW.AS","Unibail-Rodamco-Westfield,URW.AS"
"Veolia","VIE.PA","Veolia,VIE.PA"
"Vinci","DG.PA","Vinci,DG.PA"
"Vivendi","VIV.PA","Vivendi,VIV.PA"
"Worldline","WLN.PA","Worldline,WLN.PA"
